3_prime_UTR_variant	valid
5_prime_UTR_premature_start_codon_gain_variant	valid
5_prime_UTR_variant	valid
bidirectional_gene_fusion	default
chromosome	default
coding_sequence_variant	valid
coding_sequence_variant	valid
conservative_inframe_deletion	default
conservative_inframe_insertion	default
conserved_intergenic_variant	valid
conserved_intron_variant	valid
disruptive_inframe_deletion	default
disruptive_inframe_insertion	default
downstream_gene_variant	valid
duplication	default
exon_loss_variant	default
exon_variant	valid
feature_ablation	default
frameshift_variant	default
gene_fusion	default
gene_variant	valid
inframe_deletion	default
inframe_insertion	default
initiator_codon_variant	default
intergenic_region	valid
intragenic_variant	valid
intron_variant	valid
inversion	default
miRNA	valid
missense_variant	default
protein_protein_contact	default
rare_amino_acid_variant	default
rearranged_at_DNA_level	default
regulatory_region_variant	valid
splice_acceptor_variant	default
splice_donor_variant	default
splice_region_variant	valid
start_codon_gain_variant	valid
start_lost	default
start_retained	valid
stop_gained	default
stop_lost	default
stop_retained_variant	valid
structural_interaction_variant	default
synonymous_variant	valid
transcript_variant	valid
upstream_gene_variant	valid
